gene_id	WT1	WT2	WT3	Mutant1	Mutant2	Mutant3
CDIFF6300_003850	273	662	1043	1079	813	662
CDIFF6300_003860	53	65	120	111	64	51
CDIFF6300_003870	27	64	139	87	54	33
CDIFF6300_003880	3	3	4	8	7	6
CDIFF6300_003890	697	1307	3155	1779	1346	720
CDIFF6300_003900	4	10	18	22	16	15
CDIFF6300_003910	3	15	32	42	33	12
CDIFF6300_003920	4	7	18	33	35	9
CDIFF6300_003930	28	88	132	218	160	113
CDIFF6300_003940	9	9	26	25	18	13
CDIFF6300_003950	7	11	18	22	19	20
CDIFF6300_003960	1	6	19	20	14	13
CDIFF6300_003970	18	43	78	52	40	30
CDIFF6300_003980	67	130	167	133	123	58
CDIFF6300_003990	113	251	321	248	222	87
CDIFF6300_004000	89	204	274	258	146	91
CDIFF6300_004010	6	8	13	20	14	8
CDIFF6300_004020	14	28	47	31	31	18
CDIFF6300_004030	0	2	4	6	3	2
CDIFF6300_004040	12	18	42	34	28	20
CDIFF6300_004050	12	23	51	29	23	8
CDIFF6300_004060	1395	2892	4641	3999	2798	1906
CDIFF6300_004070	367	689	1210	1083	709	434
CDIFF6300_004080	5	4	11	20	17	12
CDIFF6300_004090	16	59	86	142	185	77
CDIFF6300_004100	18	75	110	159	105	57
CDIFF6300_004110	119	261	491	454	334	162
CDIFF6300_004120	97	234	337	339	255	180
CDIFF6300_004130	21	55	90	174	115	78
CDIFF6300_004140	28	93	131	236	209	151
CDIFF6300_004150	218	381	870	601	474	226
CDIFF6300_004160	26	69	118	106	73	72
CDIFF6300_004170	43	92	160	159	142	68
CDIFF6300_004180	759	1055	1903	1208	943	612
CDIFF6300_004190	440	755	1352	651	512	281
CDIFF6300_004200	158	269	655	412	315	111
CDIFF6300_004210	17	44	90	107	70	47
CDIFF6300_004220	715	669	1356	559	426	231
CDIFF6300_004230	20	19	72	18	34	51
CDIFF6300_004240	4967	6646	12382	4631	3838	3613
CDIFF6300_004280	9	4	8	29	30	10
CDIFF6300_004290	0	1	3	2	2	3
CDIFF6300_004300	197	357	497	421	301	228
CDIFF6300_004310	105	170	271	228	165	121
CDIFF6300_004320	123	244	341	334	240	193
CDIFF6300_004330	1	3	5	5	3	3
CDIFF6300_004340	77	138	196	245	163	83
CDIFF6300_004350	35	72	104	146	96	36
CDIFF6300_004360	3	9	14	28	15	17
CDIFF6300_004370	22	30	103	112	114	63
CDIFF6300_004380	26	56	100	156	127	80
CDIFF6300_004390	7267	14129	26852	26683	21881	12157
CDIFF6300_004400	3415	7161	13316	12679	9981	5963
CDIFF6300_004410	98	400	652	1607	1044	698
CDIFF6300_004420	201	553	996	3434	2673	1721
CDIFF6300_004430	396	698	1030	1083	806	372
CDIFF6300_004440	1050	1745	2668	2062	1559	914
CDIFF6300_004450	950	1871	2828	2158	1593	1023
CDIFF6300_004460	1201	2325	4803	3950	3134	1572
CDIFF6300_004470	5	6	11	8	9	1
CDIFF6300_004480	14210	24820	40946	25118	19011	11094
CDIFF6300_004490	428	627	1115	727	552	548
CDIFF6300_004500	20	49	92	67	41	27
CDIFF6300_004510	46	113	185	199	121	76
CDIFF6300_004520	49	88	198	175	136	68
CDIFF6300_004530	3	5	3	13	7	6
CDIFF6300_004540	4	29	50	56	38	21
CDIFF6300_004550	1974	4459	6925	5056	3763	3128
CDIFF6300_004560	138	257	482	381	389	242
CDIFF6300_004570	1	8	15	21	12	10
CDIFF6300_004580	0	6	9	10	2	2
CDIFF6300_004590	4	33	43	70	50	8
CDIFF6300_004600	357	731	1466	1154	886	335
CDIFF6300_004610	25	56	133	107	69	28
CDIFF6300_004620	172	236	440	195	129	86
CDIFF6300_004630	370	581	1129	516	377	208
CDIFF6300_004640	85	142	289	611	598	315
CDIFF6300_004650	131	279	599	564	525	222
